epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,19.9303,0.65058,1.06745,0.88816,0.40598,1,0.82833,0.61292,0.8902,2.8414,0.86083,0.00123186,0.00123186,0.00123186
88,20.1194,0.65726,0.96156,0.8642,1,0.97957,0.995,0.69665,0.87401,2.59108,0.82193,0.00124045,0.00124045,0.00124045
89,20.294,0.67052,1.18962,0.93901,1,0.97957,0.995,0.69665,0.87401,2.59108,0.82193,0.0012489,0.0012489,0.0012489
90,20.5489,0.73463,1.26796,0.94289,1,0.97957,0.995,0.69665,0.87401,2.59108,0.82193,0.00125721,0.00125721,0.00125721
91,20.723,0.7519,1.15496,0.82145,1,0.97957,0.995,0.69665,0.87401,2.59108,0.82193,0.0012654,0.0012654,0.0012654
92,20.9106,0.69398,1.13503,0.88557,0.42516,0.5,0.4475,0.36794,0.71305,2.56272,0.77383,0.00127345,0.00127345,0.00127345
93,21.0874,0.67251,1.04313,0.86371,0.42516,0.5,0.4475,0.36794,0.71305,2.56272,0.77383,0.00128138,0.00128138,0.00128138
94,21.2656,0.64901,1.13547,0.90334,0.42516,0.5,0.4475,0.36794,0.71305,2.56272,0.77383,0.00128917,0.00128917,0.00128917
95,21.4366,0.77782,1.17971,0.96322,0.42516,0.5,0.4475,0.36794,0.71305,2.56272,0.77383,0.00129682,0.00129682,0.00129682
96,21.6209,0.72322,1.45344,0.91568,0.31813,1,0.398,0.30344,0.9751,3.02794,0.87681,0.00130435,0.00130435,0.00130435
97,21.7984,0.60318,1.23083,0.83433,0.31813,1,0.398,0.30344,0.9751,3.02794,0.87681,0.00131174,0.00131174,0.00131174
98,21.9757,0.73187,1.29146,0.92601,0.31813,1,0.398,0.30344,0.9751,3.02794,0.87681,0.00131901,0.00131901,0.00131901
99,22.1464,0.66503,1.14537,0.92168,0.31813,1,0.398,0.30344,0.9751,3.02794,0.87681,0.00132614,0.00132614,0.00132614
100,22.3383,0.74213,1.26245,0.94679,0.88363,1,0.995,0.74563,0.9576,2.14255,0.93969,0.00133313,0.00133313,0.00133313
101,22.5843,0.83048,1.02352,0.98229,0.88363,1,0.995,0.74563,0.9576,2.14255,0.93969,0.00134,0.00134,0.00134
102,22.7668,0.81465,0.94891,0.86438,0.88363,1,0.995,0.74563,0.9576,2.14255,0.93969,0.0013334,0.0013334,0.0013334
103,22.9439,0.69354,1.18788,0.87846,0.88363,1,0.995,0.74563,0.9576,2.14255,0.93969,0.0013268,0.0013268,0.0013268
104,23.1287,0.7067,1.17769,0.93405,0.95222,1,0.995,0.82079,0.78165,2.08889,0.89379,0.0013202,0.0013202,0.0013202
105,23.3147,0.84302,1.06095,0.89402,0.95222,1,0.995,0.82079,0.78165,2.08889,0.89379,0.0013136,0.0013136,0.0013136
106,23.4989,0.72761,1.43188,0.89609,0.95222,1,0.995,0.82079,0.78165,2.08889,0.89379,0.001307,0.001307,0.001307
107,23.6815,0.65068,0.93729,0.87209,0.95222,1,0.995,0.82079,0.78165,2.08889,0.89379,0.0013004,0.0013004,0.0013004
108,23.8726,0.73729,1.09713,0.93777,1,0.90954,0.995,0.8955,0.62442,2.31656,0.83335,0.0012938,0.0012938,0.0012938
109,24.0563,0.60383,0.9804,0.93837,1,0.90954,0.995,0.8955,0.62442,2.31656,0.83335,0.0012872,0.0012872,0.0012872
110,24.243,0.69186,0.95826,0.839,1,0.90954,0.995,0.8955,0.62442,2.31656,0.83335,0.0012806,0.0012806,0.0012806
111,24.4274,0.6571,1.07718,0.94568,1,0.90954,0.995,0.8955,0.62442,2.31656,0.83335,0.001274,0.001274,0.001274
112,24.6936,0.71209,1.03692,0.93145,1,0.94573,0.995,0.82079,0.58443,1.97968,0.81715,0.0012674,0.0012674,0.0012674
113,24.8737,0.61233,0.95562,0.84801,1,0.94573,0.995,0.82079,0.58443,1.97968,0.81715,0.0012608,0.0012608,0.0012608
114,25.0529,0.64924,1.03905,0.89948,1,0.94573,0.995,0.82079,0.58443,1.97968,0.81715,0.0012542,0.0012542,0.0012542
